1,2,3,9,10,11,12
4,5,7,8,9,12,14
1,2,3,7,8,13,14
1,4,6,10,11,13,14
2,5,6,8,11,12,13
3,5,6,7,9,10,13
1,4,5,6,7,12,13
2,4,5,6,8,10,14
1,6,7,9,10,12,14
2,3,4,5,7,11,13
1,3,5,6,8,10,12
1,2,4,9,12,13,14
3,4,6,8,11,12,14
1,7,8,9,11,12,13
1,2,4,7,8,10,11
2,7,10,11,12,13,14
3,5,8,9,11,13,14
1,3,4,6,7,9,11
2,3,6,7,8,9,12
1,3,4,8,9,10,13
2,3,4,7,9,10,14
2,3,4,6,10,12,13
2,5,6,7,9,11,14
1,3,5,7,11,12,14
4,5,6,9,10,11,12
1,4,5,7,9,10,13
1,3,4,5,9,10,11
1,4,7,8,10,13,14
1,2,4,7,10,12,13
2,5,6,8,9,10,12
3,5,6,7,11,13,14
1,2,5,6,8,10,13
